Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2017,"12        ",Female,17,Left-Handed,160.0,24,176,1,Car,12,.449,42,Other,770,802,702,497,348,385,24,"Same length",90,80,"Index finger",November,Spring,Yes,,Pizza/Pasta,"Soft drink (caffeinated)",English,9,14,5,"Yes - other","Text messaging",50,120,7,5,10,23,3,0,12,14,10,8,42,2,"A lot","Graduate degree",Country,"Freeze time",Healthy,Relative,"Education/Youth development"
USA,OH,2019,"12        ",Female,17,Left-Handed,157cm,18,152,2,Car,"8 min",.549,27,Other,1000,1000,1000,1000,0,0,17,"Right foot",60mm,60mm,"Same length",August,Spring,Yes,No,Salads,Water,English,4-5,6-7,6,"Yes - broadband connection","In person",20,40,100,2,5,0,10,0,10,5,15,5,0,16,"Very little","Graduate degree","Punk rock",Telepathy,Happy,"Business person","International aid"
USA,OH,2021,"12        ",Male,17,Right-Handed,5'8,30,172,1,Car,10,.348,30,"Martial Arts",750,750,850,500,900,800,29,"Right foot",,75,"Ring finger",December,Fall,Yes,No,Seafood,"Sports drink",History,8,9,2,"Yes - broadband connection","Cell phone",30,30,12,2,2,10,2,20,0,2,5,4,12,4,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Business person",Health
USA,OH,2019,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2013,"12        ",Male,17,Right-Handed,172,26,165,1,Car,20,0.307,39,Golf,909,449,91,86,1000,1000,26,"Same length",79,82,"Ring finger",November,Fall,No,No,Poultry,Water,History,7,9,3,"Yes - broadband connection","Text messaging",150,145,14,6,5,12,,1,24,24,4,8,12,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,"Sports person","Wildlife, animals"
USA,OH,2022,"12        ",Male,18,Left-Handed,188,30,195,1,Car,10,.297,32,Baseball/Softball,700,700,500,700,1000,1000,30,"Left foot",10,9,"Ring finger",December,Summer,No,No,Meat,Water,"Physical education",5,8,4,"Yes - broadband connection","Text messaging",5,5,0,0,1,1,7,2,1,1,2,2,36,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Coach or club leader","Arts, culture, sports"
USA,OH,2020,"11        ",Female,17,Right-Handed,1.49,22.5,1.42,2,Bus,20-30,0.414,41,Running/Jogging,1000,1000,572,572,241,242,22.5,"Same length",,,,October,Spring,No,No,Poultry,Water,History,4-8,8-10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,,,,,,,,,,,,,Some,Other,Other,Invisibility,Happy,"Musician or singer","International aid"
USA,OH,2017,"12        ",Male,18,Right-Handed,178,29,181,1,Car,5,.477,34,"Football (American)",900,800,850,750,500,650,28,"Right foot",76,78,"Ring finger",August,Winter,Yes,No,Poultry,Juice,"Mathematics and statistics",4,8,4,"Yes - other","Internet chat or instant messaging",70,50,15,6,2,3,12,12,10,3,2,4,2,6,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
USA,OH,2020,"11        ",Male,17,Left-Handed,165,31,66,1,Bus,16,.46,50,Running/Jogging,600,300,50,51,30,999,,,80,90,"Ring finger",November,Fall,No,No,Pizza/Pasta,Water,Music,6,5,6,"Yes - broadband connection","Text messaging"," 80 ",90,0,0,3,14,3,10,0,1.5,3,5,35,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,Health
USA,OH,2013,"12        ",Female,17,Right-Handed,170,22,165,1,Car,12,0.36,,Gymnastics,500,600,100,100,200,700,22,"Left foot",66,62,"Index finger",January,Fall,Yes,No,Fruit,"Soft drink (caffeinated)",Science,6,10,3,"Yes - broadband connection","Text messaging",800,820,50,5,5,5,7,0,30,100,10,5,9,2,"A lot","Graduate degree",Country,Invisibility,Healthy,"Musician or singer",Health
